CPF,Nome do Animal,Data,Hora,Serviço
12345678901,Bob,05/12/2024,14:00,Banho
98765432100,Luna,06/12/2024,09:30,Tosa
11223344556,Max,07/12/2024,10:15,Banho e Tosa
33445566778,Mia,08/12/2024,11:00,Consulta Veterinária
22334455667,Bella,09/12/2024,13:45,Banho
99887766554,Thor,10/12/2024,15:30,Vacinação
88776655443,Lucky,11/12/2024,16:00,Banho e Tosa
77665544332,Daisy,12/12/2024,09:00,Consulta Veterinária
66554433221,Simba,13/12/2024,10:30,Vacinação
55443322110,Chloe,14/12/2024,14:15,Tosa
44332211009,Rocky,15/12/2024,15:45,Banho
33221100987,Lola,16/12/2024,11:00,Consulta Veterinária
22110098765,Oscar,17/12/2024,13:00,Banho
11009876543,Maggie,18/12/2024,09:30,Tosa
00987654321,Zoe,19/12/2024,16:15,Vacinação
